backbone,normalization,pca_n_components,config,grad_distance_morph_corr,grad_neighborhood_consistency,grad_gradient_smoothness_moran
dinov3_base_patch,standard,10,standard+pca10,0.26847022068239834,0.08819836933493486,0.34050837982210885
dinov3_base_patch,standard,20,standard+pca20,0.28097221058435273,0.11671378064578097,0.36922277095001543
dinov3_base_patch,l2,5,l2+pca5,0.2327312788496587,0.03935298933581499,0.3373983448631885
dinov3_base_patch,l2,10,l2+pca10,0.2721820871995323,0.11385151360239842,0.3755673312792401
dinov3_base_patch,l2,20,l2+pca20,0.28040272510424413,0.13349761787258063,0.36938317479388133
dinov3_base_patch,none,5,none+pca5,0.23426792444469688,0.023910690538661683,0.3355680631243893
dinov3_base_patch,none,10,none+pca10,0.2730647567825913,0.11555795967877258,0.3717170594857867
dinov3_base_patch,none,20,none+pca20,0.28027189619261333,0.1342096001113814,0.3719918419441106
kimianet_1000,standard,5,standard+pca5,0.2169143029855037,0.15518023567911576,0.3762939196645168
kimianet_1000,standard,10,standard+pca10,0.23988471667717623,0.2111000646495389,0.39450753433252156
kimianet_1000,standard,20,standard+pca20,0.24533291657897785,0.21226332943633275,0.39458225379762507
kimianet_1000,l2,5,l2+pca5,0.10633858741167265,0.008807697150023941,0.351953370103956
kimianet_1000,l2,10,l2+pca10,0.1257802797834614,0.08789247229947106,0.34004998974571593
kimianet_1000,l2,20,l2+pca20,0.13711850739500356,0.10293800897438288,0.3460541614953652
kimianet_1000,none,5,none+pca5,0.09175473733709649,-0.022488921303712495,0.3273262675637688
kimianet_1000,none,10,none+pca10,0.1038595897985716,0.06982588614466267,0.3374950433788675
kimianet_1000,none,20,none+pca20,0.11559080253332314,0.09199115996188223,0.34303514672135316
kimianet_224,standard,5,standard+pca5,0.17723434444261055,0.003973165051153527,0.3270080781965282
kimianet_224,standard,10,standard+pca10,0.20234834814532782,0.06764636615956376,0.3634792814815192
kimianet_224,standard,20,standard+pca20,0.218167482754018,0.11609796303152731,0.3714959926988073
kimianet_224,l2,5,l2+pca5,0.13827196011391574,-0.19368493697452172,0.21478666855013084
kimianet_224,l2,10,l2+pca10,0.17616637060078308,-0.08398582835598978,0.2554453283441763
kimianet_224,l2,20,l2+pca20,0.2032048411841043,-0.02181618034497035,0.2912716071966303
kimianet_224,none,5,none+pca5,0.04023626992067951,-0.21621242099890692,0.22813480149525056
kimianet_224,none,10,none+pca10,0.04887442029976997,-0.12311152564527372,0.25623234554318386
kimianet_224,none,20,none+pca20,0.04913130727181725,-0.06869448909513198,0.3044662905822223
mobilenet,standard,5,standard+pca5,0.27860740991200156,0.13797419296502267,0.38817594901121816
mobilenet,standard,10,standard+pca10,0.27666885182705875,0.12407146749461717,0.3874389892057406
mobilenet,standard,20,standard+pca20,0.2713842913987328,0.12250972407072103,0.37991480280759765
mobilenet,l2,5,l2+pca5,0.26220924598013406,0.16527587937868127,0.411274530375766
mobilenet,l2,10,l2+pca10,0.2751981101984822,0.1429805468676999,0.4058495817758353
mobilenet,l2,20,l2+pca20,0.2815553785349246,0.10389680346454655,0.4020310875179924
mobilenet,none,5,none+pca5,0.25402432772226635,0.15959632587875638,0.4109242867266339
mobilenet,none,10,none+pca10,0.2611480060133741,0.14906810334772747,0.407381508555194
mobilenet,none,20,none+pca20,0.2584182206204267,0.10777631078781591,0.39987784672362764
